DATAFLOW,LAST UPDATE,freq,unit,sex,sizeclas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EA18,2018,18.63,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EA19,2014,20.21,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EA19,2018,18.69,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EA19,2022,17.09,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EA20,2022,17.14,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EE,2006,29.84,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EE,2010,30.1,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EE,2014,29.35,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EE,2018,27.46,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EE,2022,26.95,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EL,2006,20.16,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EL,2010,14.61,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EL,2014,23.48,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EL,2018,20.78,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EL,2022,23.43,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,ES,2006,21.24,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,ES,2010,21.02,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,ES,2014,19.84,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,ES,2018,18.93,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,ES,2022,17.61,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2007,2006,21.77,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2007,2010,20.98,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2007,2014,21.12,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2007,2018,18.74,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2020,2006,20.19,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2020,2010,19.51,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2020,2014,19.88,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2020,2018,18.21,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU27_2020,2022,17.07,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU28,2010,21.09,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,EU28,2014,21.16,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,FI,2006,6.81,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,FI,2010,8.02,,
